Year,Country,id_3char,ECI,rank_cpi
1967,Nigeria,nga,-1.50863,93.0
1967,Mauritania,mrt,-1.15008,89.0
1967,Mozambique,moz,-0.9606540000000001,79.0
1967,Madagascar,mdg,-1.04663,85.0
1967,Morocco,mar,-0.34405,56.0
1967,Tanzania,tza,-1.29203,90.0
1967,Kenya,ken,-0.785431,67.0
1967,Ghana,gha,-0.9539059999999999,78.0
1967,Gabon,gab,-1.45307,92.0
1967,Ethiopia,eth,-0.8536889999999999,73.0
1967,Egypt,egy,-0.086774,44.0
1967,Algeria,dza,-0.326832,54.0
1967,Republic of the Congo,cog,-0.8544799999999999,74.0
1967,Cameroon,cmr,-0.9726309999999999,80.0
1967,Cote d'Ivoire,civ,-0.947142,76.0
1967,Angola,ago,-1.03878,84.0
1967,Guinea,gin,-1.0714,87.0
1967,South Africa,zaf,-0.283275,50.0
1967,Thailand,tha,-1.02722,83.0
1967,Zimbabwe,zwe,0.7184010000000001,22.0
1967,Zambia,zmb,-0.743592,65.0
1967,Saudi Arabia,sau,-0.847359,71.0
1967,Qatar,qat,-1.5694299999999999,94.0
1967,Philippines,phl,-0.5901850000000001,62.0
1967,Pakistan,pak,-0.196449,47.0
1967,Oman,omn,-0.546423,61.0
1967,Malaysia,mys,-0.5004689999999999,60.0
1967,Burma,mmr,-0.980183,81.0
1967,Sri Lanka,lka,-1.05778,86.0
1967,Lebanon,lbn,0.517729,28.0
1967,Kuwait,kwt,-0.924902,75.0
1967,Singapore,sgp,0.23718000000000003,34.0
1967,Cambodia,khm,-0.950048,77.0
1967,Japan,jpn,1.8535099999999998,7.0
1967,Jordan,jor,0.421167,31.0
1967,Israel,isr,0.647967,25.0
1967,Iran,irn,-0.80783,68.0
1967,India,ind,-0.10323900000000001,45.0
1967,Indonesia,idn,-1.12068,88.0
1967,Hong Kong,hkg,1.28684,15.0
1967,China,chn,0.511791,29.0
1967,South Korea,kor,0.773875,20.0
1968,Greece,grc,0.172181,38.0
1968,Hungary,hun,1.10248,16.0
1968,Ireland,irl,0.948167,18.0
1968,Portugal,prt,0.895702,21.0
1968,Netherlands,nld,1.3048799999999998,14.0
1968,Norway,nor,1.38974,11.0
1968,Poland,pol,0.882682,22.0
1968,Romania,rou,0.46490200000000004,33.0
1968,Italy,ita,1.81562,7.0
1968,United Kingdom,gbr,2.0158,4.0
1968,Germany,deu,2.2904299999999997,1.0
1968,Spain,esp,0.602475,27.0
1968,Denmark,dnk,1.30555,13.0
1968,Switzerland,che,2.1625,2.0
1968,Bulgaria,bgr,0.48685500000000004,32.0
1968,Belgium,bel,1.53657,10.0
1968,Austria,aut,1.98078,5.0
1968,Albania,alb,0.056063,41.0
1968,Sweden,swe,2.05498,3.0
1968,Vietnam,vnm,-0.015737,44.0
1968,France,fra,1.7507099999999998,9.0
1968,Canada,can,0.8032050000000001,23.0
1968,United States,usa,1.8073599999999999,8.0
1968,Dominican Republic,dom,-0.826126,71.0
1968,Venezuela,ven,-0.394938,58.0
1968,Uruguay,ury,0.335919,34.0
1968,Paraguay,pry,-0.587674,62.0
1968,Peru,per,-0.697814,63.0
1968,Ecuador,ecu,-0.891331,78.0
1968,Colombia,col,-0.168593,47.0
1968,Chile,chl,-0.20273,49.0
1968,Brazil,bra,-0.702449,64.0
1968,Bolivia,bol,-0.876756,77.0
1968,Argentina,arg,-0.2747,52.0
1968,New Zealand,nzl,0.116224,39.0
1968,Australia,aus,0.268314,35.0
1968,Turkey,tur,-0.864073,73.0
1968,Trinidad and Tobago,tto,0.019173,43.0
1968,El Salvador,slv,0.579651,28.0
1968,Panama,pan,0.9002459999999999,20.0
1968,Nicaragua,nic,0.080425,40.0
1968,Mexico,mex,0.036176,42.0
1968,Jamaica,jam,-0.343456,53.0
1968,Honduras,hnd,-0.197737,48.0
1968,Guatemala,gtm,0.205069,37.0
1968,Costa Rica,cri,0.659682,25.0
1968,Thailand,tha,-0.870876,76.0
1968,Finland,fin,1.38039,12.0
1968,Singapore,sgp,0.256625,36.0
1968,Tanzania,tza,-1.23856,92.0
1968,Tunisia,tun,-0.23980700000000002,50.0
1968,Togo,tgo,-1.01094,82.0
1968,Senegal,sen,-0.37760900000000003,55.0
1968,Sudan,sdn,-1.18166,90.0
1968,Nigeria,nga,-1.4337600000000001,95.0
1968,Mauritania,mrt,-1.01189,83.0
1968,Mozambique,moz,-0.8690690000000001,74.0
1968,Madagascar,mdg,-1.0524,84.0
1968,Morocco,mar,-0.387013,57.0
1968,Kenya,ken,-0.731571,65.0
1968,Guinea,gin,-1.09043,86.0
1968,Ghana,gha,-0.773767,67.0
1968,Gabon,gab,-1.2429299999999999,93.0
1968,Ethiopia,eth,-0.932435,79.0
1968,Egypt,egy,-0.152495,46.0
1968,Algeria,dza,-0.469397,60.0
1968,Republic of the Congo,cog,-0.857768,72.0
1968,Cameroon,cmr,-0.7582479999999999,66.0
1968,Cote d'Ivoire,civ,-1.00629,81.0
1968,Angola,ago,-1.23318,91.0
1968,South Africa,zaf,-0.38345300000000004,56.0
1968,Zambia,zmb,-0.792187,68.0
1968,Syria,syr,-0.255758,51.0
1968,United Arab Emirates,are,1.0252700000000001,17.0
1968,Saudi Arabia,sau,-0.9431149999999999,80.0
1968,Qatar,qat,-1.6182299999999998,96.0
1968,Philippines,phl,-0.47901099999999996,61.0
1968,Pakistan,pak,-0.367673,54.0
1968,Oman,omn,-1.33728,94.0
1968,Malaysia,mys,-0.439566,59.0
1968,Zimbabwe,zwe,0.9220709999999999,19.0
1968,Sri Lanka,lka,-1.11778,89.0
1968,Lebanon,lbn,0.49002799999999996,31.0
1968,Laos,lao,-0.8156140000000001,69.0
